lon,lat
196.8712557,-18.06497248
196.8666893,-18.07381466
196.8580186,-18.07835813
196.8496286,-18.08370487
196.8449307,-18.09222851
196.8365479,-18.09535026
196.8267629,-18.09335347
196.8211202,-18.08604185
196.8192638,-18.07625141
196.8131895,-18.06845857
196.8055336,-18.06204232
196.802005,-18.05461383
200.1567125,-18.91142199
200.1625042,-18.90337315
200.1692896,-18.89607461
200.1758627,-18.88857679
200.1804909,-18.87981932
200.1824556,-18.87003527
200.1859931,-18.86089003
200.1933355,-18.85410158
200.1991237,-18.84632795
200.2031822,-18.83733155
200.2108853,-18.83098195
200.2184753,-18.82449111
200.227704,-18.82156184
200.2355724,-18.82679982
200.2411848,-18.83505578
200.2457299,-18.84396125
200.249446,-18.85323767
200.251815,-18.8629396
200.252986,-18.87269314
200.2538511,-18.88236081
200.2599852,-18.89019594
200.2671562,-18.89709587
200.2740031,-18.9041509
200.2743995,-18.91406331
200.2733848,-18.9239737
200.2735848,-18.93395143
200.2723084,-18.94376476
200.2688112,-18.95300333
200.2599588,-18.95334974
200.2529576,-18.94633253
200.2456765,-18.93962764
200.2366928,-18.93526534
200.2276364,-18.93135301
200.2193886,-18.92618765
200.2094605,-18.92639636
200.199589,-18.92756562
200.1896385,-18.92659435
200.1799209,-18.92439696
200.1701509,-18.9223487
200.1603527,-18.92038827
200.1566824,-18.91210849
201.0387133,-19.2843428
201.0325674,-19.27646613
201.0273559,-19.26843007
201.0327034,-19.26028624
201.0412359,-19.25528772
201.0505792,-19.25176425
201.0600734,-19.24865823
201.069826,-19.24932129
201.0784338,-19.25428578
201.0849703,-19.26175198
201.0881185,-19.27113898
201.0855348,-19.28064363
201.0763472,-19.28149533
201.0665863,-19.28309427
201.0579668,-19.28813103
201.0485531,-19.29078559
201.0400501,-19.28609951
201.7014565,-19.81132347
201.7099147,-19.806328
201.7184199,-19.81002117
201.7157094,-19.81753822
201.705805,-19.81684901
201.8568666,-19.9923473
201.8585117,-19.98249008
201.8613425,-19.97290642
201.8674672,-19.96568047
201.8774045,-19.96490562
201.8867665,-19.96795104
201.8954204,-19.97252743
201.9024357,-19.97963134
201.9094937,-19.98671347
201.9156852,-19.99446228
201.9187579,-20.00389239
201.9140492,-20.01179629
201.9053084,-20.01623276
201.8960393,-20.01983645
201.8879395,-20.02563547
201.8792824,-20.02844054
201.8746391,-20.01982103
201.8684381,-20.01204666
201.8610127,-20.00540363
201.8574324,-19.99637245
202.2783865,-19.853807
202.2794164,-19.84395989
202.2874513,-19.83882689
202.2971325,-19.84024738
202.3066577,-19.84318431
202.3157712,-19.84715308
202.3209946,-19.85529448
202.32094,-19.86527394
202.3197716,-19.87520318
202.3171986,-19.88480531
202.3092586,-19.89009519
202.2999264,-19.89359542
202.2913047,-19.89835066
202.2830136,-19.89407449
202.2788129,-19.88500032
202.2755374,-19.87559039
202.2769177,-19.86578401
202.2784962,-19.85606225
202.6398884,-20.14786263
202.6425096,-20.13824063
202.6480162,-20.13199596
202.6572795,-20.13572239
202.6664369,-20.13973985
202.6752293,-20.14413933
202.6788203,-20.15343062
202.6794118,-20.16336088
202.6782207,-20.17325511
202.6737282,-20.18164985
202.6659473,-20.18791339
202.6568872,-20.18918039
202.6483803,-20.18393875
202.6423013,-20.1760735
202.6392693,-20.16668576
202.6382795,-20.15673986
202.0372776,-21.93136637
202.0402506,-21.92182278
202.0439094,-21.91251793
202.0478994,-21.90335651
202.0548843,-21.89679205
202.0643031,-21.89344923
202.0740082,-21.89109139
202.0839318,-21.88993527
202.0933217,-21.89203584
202.0982797,-21.90066721
202.1036938,-21.90907443
202.1098071,-21.91685625
202.1168186,-21.9239848
202.1239248,-21.93096308
