lon,lat
185.6244064074,-19.8201020835
185.6285104451,-19.8172789258
185.6327979097,-19.814706447
185.636778493,-19.8117200082
185.6404861719,-19.8083654415
185.6436675204,-19.8045242547
185.6461397459,-19.8002388344
185.6479279822,-19.7955695506
185.6493204745,-19.7907687803
185.6504081389,-19.7859121611
185.6502099343,-19.7810986885
185.6466744004,-19.7775631546
185.6472830391,-19.7727728662
185.6492174837,-19.7683900815
185.6528078221,-19.764910215
185.6563981605,-19.7614303486
185.66001255,-19.7579755815
185.6636423134,-19.7545368583
185.6672720769,-19.751098135
185.6709018403,-19.7476594118
185.6747459139,-19.7444722477
185.6787177031,-19.7414349972
185.6828161873,-19.7385750541
185.6869764388,-19.7358015531
185.6915745503,-19.7340902985
185.6964807944,-19.7331265719
185.7006570023,-19.73048682
185.7047041116,-19.7275506819
185.7078466986,-19.7236777023
185.7110108021,-19.7198093646
185.7143388764,-19.7160778874
185.7165068563,-19.711612529
185.7184529399,-19.707006798
185.7194392431,-19.7022066191
185.7194369435,-19.6972069513
185.7180218562,-19.6924113776
185.7165014838,-19.6876689722
185.7134821953,-19.6836835114
185.7113990512,-19.6791689653
185.7102579888,-19.674411754
185.7092898035,-19.669859403
185.7055616142,-19.6666792502
185.7010097818,-19.6646102355
185.6994714962,-19.6600972017
185.699624523,-19.6551519778
185.7000076369,-19.650186732
185.6993405768,-19.6452314287
185.6998737163,-19.640377829
185.7031166268,-19.6373450631
185.7073616911,-19.6390927681
185.710628412,-19.642742916
185.7132108779,-19.6470243725
185.7155362654,-19.6514289798
185.717254173,-19.6561245941
185.7189720807,-19.6608202083
185.721599431,-19.6650012913
185.7247395273,-19.6688922802
185.7282517522,-19.6723913877
185.7322998044,-19.6753262256
185.7351054264,-19.679383372
185.7362834265,-19.6842426225
185.7374345374,-19.6891069414
185.7381063558,-19.6940616018
185.7385447188,-19.6990250374
185.7382467419,-19.7040161504
185.7378277323,-19.7089925011
185.736917286,-19.7139089112
185.7360068397,-19.7188253212
185.7333221872,-19.7228255358
185.7298406216,-19.7264142265
185.726359056,-19.7300029172
185.7241085758,-19.7344234624
185.7220778834,-19.7389925201
185.7203721891,-19.7436770981
185.7190635243,-19.7485027997
185.7173753068,-19.7531972118
185.7146632593,-19.75729708
185.7109253804,-19.7604209953
185.7060347773,-19.7614502562
185.7010394965,-19.7616674423
185.6960460957,-19.7619225967
185.691053794,-19.7621999468
185.6861209063,-19.7630136547
185.6811667735,-19.7636682057
185.6761907865,-19.764157647
185.6718123527,-19.7662145141
185.6685814248,-19.7696488746
185.6678617256,-19.7745968068
185.6672287705,-19.7795559549
185.6666663254,-19.7845242197
185.6651287823,-19.7892732961
185.6637224301,-19.7940714389
185.6627296926,-19.7989186947
185.6629735567,-19.8039127387
185.6634345478,-19.8088914421
185.6637653014,-19.8138773278
185.6638545729,-19.8188765308
185.6659438215,-19.8231352507
185.666047701,-19.8270667554
185.6630626471,-19.8310779215
185.6587232769,-19.8334156747
185.6541027067,-19.8346226054
185.6492687765,-19.8333446698
185.6444348464,-19.8320667343
185.639522621,-19.8312472711
185.6345385446,-19.830848545
185.6296088165,-19.831678941
